"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1","round_2","round_3","round_4"
74,550,"ddaced21-380a-4035-8b18-5e70b7799130","P. Cattaneo","SFR_scric","IT","A+","S","GT1","Ford",0,273,277,0
75,549,"45e379e5-fda2-4fe7-aa9e-36229e0941dc","PRT_Leox86","leonardolacatena","IT","A+","S","GT1","Peugeot",0,282,0,267
75,549,"8e60768a-e9c7-48ce-af0c-011bef2a3992","Arelainen","KhuKKis47","FI","A+","S","GT1","Porsche",0,0,257,292
77,548,"13ecce32-fbf2-4ca1-a0e1-a184ed6e01eb","Maox222","Maox222","RU","A+","S","GT1","Toyota",329,219,0,0
78,545,"620599e9-a1d6-4b6e-8f9d-749e848f12a9","TCR_ jr_racing","TCR_jr_racing","NL","A+","S","GT1","AMG",285,260,0,0
78,545,"bbca55cd-266b-4882-8140-9d85d8c77ad5","OSR_docbrown40","OSR_docbrown40","FR","A+","S","GT1","Ferrari",0,0,272,273
78,545,"2dc18585-526f-48b0-ae02-e3016f3a99d1","MSC #24","HDK_Mr-JUN10R","DE","A+","S","GT1","Porsche",277,0,0,268
78,545,"3a948f3c-68a9-400b-a2bc-43c487751a11","J.Brea","YT-JMBREA13","ES","A+","S","GT1","Ford",0,273,0,272
82,543,"c6f5189b-6151-4ac2-adc9-daee3d1133dd","TX3_Michi","TX3_Michi","AT","A+","S","GT1","AMG",262,0,281,0
83,542,"a6b8f1ee-00f4-443d-8070-e98591677f03","Zhaibass","Zhaibass","DK","A+","S","GT1","Porsche",0,275,0,267
84,539,"09d828fd-1b37-4ab3-9cfb-1505ea1fc10b","J. Batty","eRA_Jakeyy","GB","A+","S","GT1","Nissan",210,0,329,0
85,534,"21f0c32d-2406-46c3-b101-f84a4a5b1424","Dustin","Dustin3822","DE","A+","S","GT1","Porsche",0,267,0,267
85,534,"bfb6e701-8fc2-41c6-a4bc-f700b9b22b46","Spudi","Spudi_PL","PL","A+","S","GT1","AMG",274,0,260,0
87,533,"8b179765-5f31-4f66-b22b-39f311447a6f","CCR_DannyC","iTzDannyC","GB","A+","S","GT1","Porsche",0,279,254,0
88,532,"6e5a6aa2-ea0b-40e0-a4b9-ca143273113b","Αθανασόπουλος 13","zaboniero13","GR","A+","S","GT1","Mazda",258,0,274,0
89,529,"10373cab-9a7e-4c6d-a561-b48fed662c58","Russ","waffledinho","GB","A+","S","GT1","Porsche",0,266,263,0
